lex	sem
naloxone_lex	Chemical
clonidine_lex	Chemical
hypertensive_lex	Disease
nalozone_lex	Chemical
hypotensive_lex	Disease
alphamethyldopa_lex	Chemical
3hnaloxone_lex	Chemical
3hdihydroergocryptine_lex	Chemical
lidocaine_lex	Chemical
cardiac_asystole_lex	Disease
depression_lex	Disease
bradyarrhythmias_lex	Disease
suxamethonium_lex	Chemical
fasciculations_lex	Disease
suxamethonium_chloride_lex	Chemical
sch_lex	Chemical
tetanic_lex	Disease
fasciculation_lex	Disease
twitch_lex	Disease
tetanus_lex	Disease
galanthamine_hydrobromide_lex	Chemical
scopolamine_lex	Chemical
hyoscine_lex	Chemical
overdosage_lex	Disease
physostigmine_lex	Chemical
lithium_lex	Chemical
chronic_renal_failure_lex	Disease
nephropathy_lex	Disease
renal_failure_lex	Disease
li_lex	Chemical
proteinuria_lex	Disease
hypertension_lex	Disease
glomerulosclerosis_lex	Disease
creatinine_lex	Chemical
crohns_disease_lex	Disease
fusidic_acid_lex	Chemical
cyclosporin_lex	Chemical
nausea_lex	Disease
inflammatory_bowel_disease_lex	Disease
myocardial_injury_lex	Disease
cocaine_lex	Chemical
schizophrenic_lex	Disease
myocardial_infarction_lex	Disease
ischemia_lex	Disease
bundle_branch_block_lex	Disease
sulpiride_lex	Chemical
tardive_dystonia_lex	Disease
antidepressant_lex	Chemical
tardive_dyskinesia_lex	Disease
parkinsonism_lex	Disease
dystonia_lex	Disease
desferrioxamine_lex	Chemical
audiovisual_toxicity_lex	Disease
visual_toxicity_lex	Disease
dyschromatopsy_lex	Disease
a_loss_of_visual_acuity_lex	Disease
pigmentary_retinal_deposits_lex	Disease
auditory_toxicity_lex	Disease
neurosensorial_hearing_loss_lex	Disease
hearing_loss_lex	Disease
toxicity_lex	Disease
aluminium_lex	Chemical
myasthenia_gravis_lex	Disease
magnesium_lex	Chemical
neuromuscular_disease_lex	Disease
quadriplegic_lex	Disease
preeclampsia_lex	Disease
postsynaptic_neuromuscular_blockade_lex	Disease
acetylcholine_lex	Chemical
paralysis_lex	Disease
disorder_of_neuromuscular_transmission_lex	Disease
chloroacetaldehyde_lex	Chemical
cyclophosphamide_lex	Chemical
ifosfamide_lex	Chemical
caa_lex	Chemical
bladder_damage_lex	Disease
mesna_lex	Chemical
pain_lex	Disease
migraine_lex	Disease
nitroglycerin_lex	Chemical
clotiazepam_lex	Chemical
hepatitis_lex	Disease
extensive_hepatocellular_necrosis_lex	Disease
thienodiazepine_lex	Chemical
benzodiazepines_lex	Chemical
hepatotoxicity_lex	Disease
ketoconazole_lex	Chemical
cushings_syndrome_lex	Disease
cortisol_lex	Chemical
deoxycorticosterone_lex	Chemical
11deoxycortisol_lex	Chemical
aldosterone_lex	Chemical
angiotensin_lex	Chemical
captopril_lex	Chemical
intravascular_coagulation_lex	Disease
tranexamic_acid_lex	Chemical
amca_lex	Chemical
trauma_lex	Disease
sepsis_lex	Disease
renal_damage_lex	Disease
urea_lex	Chemical
angiotension_ii_lex	Chemical
prostacyclin_lex	Chemical
bradykinin_lex	Chemical
kidney_damage_lex	Disease
labetalol_lex	Chemical
nitroprusside_lex	Chemical
hypotension_lex	Disease
reductions_in_mean_arterial_blood_pressure_lex	Disease
increase_in_heart_rate_and_cardiac_output_lex	Disease
po2_lex	Chemical
carbamazepine_lex	Chemical
folate_lex	Chemical
cbz_lex	Chemical
propylene_glycol_lex	Chemical
seizures_lex	Disease
weight_gain_lex	Disease
hexafluorodiethyl_ether_lex	Chemical
hfde_lex	Chemical
sodium_lex	Chemical
norepinephrine_lex	Chemical
epinephrine_lex	Chemical
tachycardia_lex	Disease
hydralazine_lex	Chemical
death_lex	Disease
gestational_trophoblastic_disease_lex	Disease
choriocarcinoma_lex	Disease
