,church,irvine,dop,chisq_score,RICF,keybert
0,Bcl-6_lex,Bcl-6_lex,of,suggest,Bcl-6_lex,interleukin2
1,v-erbA_lex,TCRzeta_lex,the,here,v-erbA_lex,interleukin2independent
2,SMX_lex,ML-9_lex,in,indicate,SMX_lex,interleukin
3,ML-9_lex,AITL_lex,and,results,SHP1_lex,cytokinestimulated
4,SHP1_lex,SHP1_lex,to,however,ML-9_lex,cytokines
5,beta-casein_lex,beta-casein_lex,a,study,beta-casein_lex,kinases
6,EBNA-2_lex,A-myb_lex,that,previous,p95vav_lex,interleukin4
7,I_kappaB_lex,I_kappaB_lex,by,recent,DM_lex,kinase
8,DM_lex,SMX_lex,with,investigate,TCRzeta_lex,cytokine
9,TCRzeta_lex,Rap1_protein_lex,we,thus,I_kappaB_lex,interleukin1
